Employee,Branch,Month,Product,Invested Assets,Fees,Commisions
500014,B0001,201901,Personal Loans - 1 to 5 Years,277879,28,0.28
500038,B0001,201901,Personal Loans - 1 to 5 Years,530281,27,0.27
500054,B0001,201901,Personal Loans - 1 to 5 Years,401807,40,0.4
500078,B0001,201901,Personal Loans - 1 to 5 Years,775663,47,0.47
500086,B0001,201901,Personal Loans - 1 to 5 Years,546207,3,0.03
500110,B0001,201901,Personal Loans - 1 to 5 Years,835488,6,0.06
500118,B0001,201901,Personal Loans - 1 to 5 Years,402247,3,0.03
500158,B0001,201901,Personal Loans - 1 to 5 Years,279961,20,0.2
500166,B0001,201901,Personal Loans - 1 to 5 Years,123083,40,0.4
500174,B0001,201901,Personal Loans - 1 to 5 Years,240969,11,0.11
500190,B0001,201901,Personal Loans - 1 to 5 Years,670835,47,0.47
500206,B0001,201901,Personal Loans - 1 to 5 Years,72757,11,0.11
500030,B0001,201901,Personal Loans - 1 to 5 Years,358192,27,0.27
500126,B0001,201901,Personal Loans - 1 to 5 Years,584503,31,0.31
500134,B0001,201901,Personal Loans - 1 to 5 Years,805135,1,0.01
500182,B0001,201901,Personal Loans - 1 to 5 Years,562569,50,0.5
500142,B0001,201901,Personal Loans - 1 to 5 Years,720946,23,0.23
500198,B0001,201901,Personal Loans - 1 to 5 Years,889730,25,0.25
500022,B0001,201901,Personal Loans - 1 to 5 Years,727543,18,0.18
500046,B0001,201901,Personal Loans - 1 to 5 Years,349224,2,0.02
500062,B0001,201901,Personal Loans - 1 to 5 Years,561349,10,0.1
500070,B0001,201901,Personal Loans - 1 to 5 Years,376414,1,0.01
500094,B0001,201901,Personal Loans - 1 to 5 Years,612828,17,0.17
500102,B0001,201901,Personal Loans - 1 to 5 Years,514854,41,0.41
500150,B0001,201901,Personal Loans - 1 to 5 Years,755644,43,0.43
500023,B0002,201901,Personal Loans - 1 to 5 Years,208031,21,0.21
500087,B0002,201901,Personal Loans - 1 to 5 Years,601133,27,0.27
500199,B0002,201901,Personal Loans - 1 to 5 Years,685489,39,0.39
500015,B0002,201901,Personal Loans - 1 to 5 Years,582582,15,0.15
500039,B0002,201901,Personal Loans - 1 to 5 Years,498172,7,0.07
500047,B0002,201901,Personal Loans - 1 to 5 Years,39524,4,0.04
500063,B0002,201901,Personal Loans - 1 to 5 Years,824077,26,0.26
500079,B0002,201901,Personal Loans - 1 to 5 Years,819686,39,0.39
500127,B0002,201901,Personal Loans - 1 to 5 Years,735385,2,0.02
500135,B0002,201901,Personal Loans - 1 to 5 Years,548855,22,0.22
500143,B0002,201901,Personal Loans - 1 to 5 Years,768835,46,0.46
500159,B0002,201901,Personal Loans - 1 to 5 Years,656341,41,0.41
500167,B0002,201901,Personal Loans - 1 to 5 Years,332755,20,0.2
500055,B0002,201901,Personal Loans - 1 to 5 Years,833548,50,0.5
500071,B0002,201901,Personal Loans - 1 to 5 Years,216038,40,0.4
500103,B0002,201901,Personal Loans - 1 to 5 Years,794504,42,0.42
500111,B0002,201901,Personal Loans - 1 to 5 Years,288804,43,0.43
500151,B0002,201901,Personal Loans - 1 to 5 Years,518756,21,0.21
500183,B0002,201901,Personal Loans - 1 to 5 Years,399275,47,0.47
500095,B0002,201901,Personal Loans - 1 to 5 Years,108088,3,0.03
500031,B0002,201901,Personal Loans - 1 to 5 Years,431467,32,0.32
500119,B0002,201901,Personal Loans - 1 to 5 Years,780682,18,0.18
500175,B0002,201901,Personal Loans - 1 to 5 Years,276801,3,0.03
500191,B0002,201901,Personal Loans - 1 to 5 Years,411792,33,0.33
500207,B0002,201901,Personal Loans - 1 to 5 Years,65287,43,0.43
500032,B0003,201901,Personal Loans - 1 to 5 Years,466383,2,0.02
500048,B0003,201901,Personal Loans - 1 to 5 Years,19668,5,0.05
500104,B0003,201901,Personal Loans - 1 to 5 Years,593508,46,0.46
500120,B0003,201901,Personal Loans - 1 to 5 Years,313633,3,0.03
500128,B0003,201901,Personal Loans - 1 to 5 Years,525342,43,0.43
500168,B0003,201901,Personal Loans - 1 to 5 Years,310274,42,0.42
500200,B0003,201901,Personal Loans - 1 to 5 Years,802834,8,0.08
500208,B0003,201901,Personal Loans - 1 to 5 Years,183519,18,0.18
500024,B0003,201901,Personal Loans - 1 to 5 Years,324180,26,0.26
500056,B0003,201901,Personal Loans - 1 to 5 Years,812247,19,0.19
500072,B0003,201901,Personal Loans - 1 to 5 Years,703380,40,0.4
500088,B0003,201901,Personal Loans - 1 to 5 Years,380518,28,0.28
